date,equity,cash,shares,close,drawdownPct
2021-12-07,421922.42,2.14,901,468.2799987792969,0.31
2021-12-08,423039.65,2.14,901,469.5199890136719,0.04
2021-12-09,420183.5,2.14,901,466.3500061035156,0.72
2021-12-10,424138.87,2.14,901,470.739990234375,0
2021-12-13,420381.72,2.14,901,466.57000732421875,0.89
2021-12-14,417489.49,2.14,901,463.3599853515625,1.57
2021-12-15,424012.75,2.14,901,470.6000061035156,0.03
2021-12-16,420273.6,2.14,901,466.45001220703125,0.91
2021-12-17,414345.01,2.14,901,459.8699951171875,2.31
2021-12-20,409939.13,2.14,901,454.9800109863281,3.35
2021-12-21,417219.2,2.14,901,463.05999755859375,1.63
2021-12-22,421390.83,2.14,901,467.69000244140625,0.65
2021-12-23,424012.75,2.14,901,470.6000061035156,0.03
2021-12-27,430013.41,2.14,901,477.260009765625,0
2021-12-28,429662.01,2.14,901,476.8699951171875,0.08
2021-12-29,430211.63,2.14,901,477.4800109863281,0
2021-12-30,429022.3,2.14,901,476.1600036621094,0.28
2021-12-31,427941.09,2.14,901,474.9599914550781,0.53
2022-01-03,430418.84,2.14,901,477.7099914550781,0
2022-01-04,430274.68,2.14,901,477.54998779296875,0.03
2022-01-05,422012.53,2.14,901,468.3800048828125,1.95
2022-01-06,421616.08,2.14,901,467.94000244140625,2.05
2022-01-07,419949.23,2.14,901,466.0899963378906,2.43
2022-01-10,419426.66,2.14,901,465.510009765625,2.55
2022-01-11,423246.89,2.14,901,469.75,1.67
2022-01-12,424391.15,2.14,901,471.0199890136719,1.4
2022-01-13,418543.67,2.14,901,464.5299987792969,2.76
2022-01-14,418714.86,2.14,901,464.7200012207031,2.72
2022-01-18,411299.62,2.14,901,456.489990234375,4.44
2022-01-19,407028.89,2.14,901,451.75,5.43
2022-01-20,402523.89,2.14,901,446.75,6.48
2022-01-21,394622.13,2.14,901,437.9800109863281,8.32
2022-01-24,396297.98,2.14,901,439.8399963378906,7.93
2022-01-25,391459.61,2.14,901,434.4700012207031,9.05
2022-01-26,390477.53,2.14,901,433.3800048828125,9.28
2022-01-27,388549.37,2.14,901,431.239990234375,9.73
2022-01-28,398199.1,2.14,901,441.95001220703125,7.49
2022-01-31,405371.05,2.14,901,449.9100036621094,5.82
2022-02-01,408110.1,2.14,901,452.95001220703125,5.18
2022-02-02,412074.5,2.14,901,457.3500061035156,4.26
2022-02-03,402388.75,2.14,901,446.6000061035156,6.51
2022-02-04,404280.85,2.14,901,448.70001220703125,6.07
2022-02-07,402983.41,2.14,901,447.260009765625,6.37
2022-02-08,406299.08,2.14,901,450.94000244140625,5.6
2022-02-09,412245.69,2.14,901,457.5400085449219,4.22
2022-02-10,404839.47,2.14,901,449.32000732421875,5.94
2022-02-11,396856.59,2.14,901,440.4599914550781,7.8
2022-02-14,395559.15,2.14,901,439.0199890136719,8.1
2022-02-15,401938.25,2.14,901,446.1000061035156,6.62
2022-02-16,402388.75,2.14,901,446.6000061035156,6.51
2022-02-17,393793.2,2.14,901,437.05999755859375,8.51
2022-02-18,391243.38,2.14,901,434.2300109863281,9.1
2022-02-22,387044.72,2.14,901,429.57000732421875,10.08
2022-02-23,380179.1,2.14,901,421.95001220703125,11.67
2022-02-24,385900.43,2.14,901,428.29998779296875,10.34
2022-02-25,394414.89,2.14,901,437.75,8.36
2022-02-28,393405.78,2.14,901,436.6300048828125,8.6
2022-03-01,387414.13,2.14,901,429.9800109863281,9.99
2022-03-02,394541.04,2.14,901,437.8900146484375,8.34
2022-03-03,392576.84,2.14,901,435.7099914550781,8.79
2022-03-04,389387.32,2.14,901,432.1700134277344,9.53
2022-03-07,377908.56,2.14,901,419.42999267578125,12.2
2022-03-08,375043.39,2.14,901,416.25,12.87
2022-03-09,385098.55,2.14,901,427.4100036621094,10.53
2022-03-10,383359.63,2.14,901,425.4800109863281,10.93
2022-03-11,378485.22,2.14,901,420.07000732421875,12.07
2022-03-14,375719.14,2.14,901,417,12.71
2022-03-15,383981.32,2.14,901,426.1700134277344,10.79
2022-03-16,392495.76,2.14,901,435.6199951171875,8.81
2022-03-17,397406.22,2.14,901,441.07000732421875,7.67
2022-03-18,400514.65,2.14,901,444.5199890136719,6.95
2022-03-21,400397.54,2.14,901,444.3900146484375,6.97
2022-03-22,405082.73,2.14,901,449.5899963378906,5.89
2022-03-23,399865.93,2.14,901,443.79998779296875,7.1
2022-03-24,405893.62,2.14,901,450.489990234375,5.7
2022-03-25,407875.83,2.14,901,452.69000244140625,5.24
2022-03-28,410777.05,2.14,901,455.9100036621094,4.56
2022-03-29,415858.68,2.14,901,461.54998779296875,3.38
2022-03-30,413290.85,2.14,901,458.70001220703125,3.98
2022-03-31,406929.79,2.14,901,451.6400146484375,5.46
2022-04-01,408083.07,2.14,901,452.9200134277344,5.19
2022-04-04,411578.93,2.14,901,456.79998779296875,4.38
2022-04-05,406380.17,2.14,901,451.0299987792969,5.58
2022-04-06,402316.65,2.14,901,446.5199890136719,6.53
2022-04-07,404343.9,2.14,901,448.7699890136719,6.06
2022-04-08,403262.72,2.14,901,447.57000732421875,6.31
2022-04-11,396370.07,2.14,901,439.9200134277344,7.91
2022-04-12,394901.44,2.14,901,438.2900085449219,8.25
2022-04-13,399424.45,2.14,901,443.30999755859375,7.2
2022-04-14,394450.94,2.14,901,437.7900085449219,8.36
2022-04-18,394613.11,2.14,901,437.9700012207031,8.32
2022-04-19,400983.19,2.14,901,445.0400085449219,6.84
2022-04-20,400685.84,2.14,901,444.7099914550781,6.91
2022-04-21,394694.2,2.14,901,438.05999755859375,8.3
2022-04-22,383864.19,2.14,901,426.0400085449219,10.82
2022-04-25,386089.66,2.14,901,428.510009765625,10.3
2022-04-26,374908.25,2.14,901,416.1000061035156,12.9
2022-04-27,375962.4,2.14,901,417.2699890136719,12.65
2022-04-28,385458.95,2.14,901,427.80999755859375,10.45
2022-04-29,371214.14,2.14,901,412,13.76
2022-05-02,373448.63,2.14,901,414.4800109863281,13.24
2022-05-03,375160.53,2.14,901,416.3800048828125,12.84
2022-05-04,386585.2,2.14,901,429.05999755859375,10.18
2022-05-05,372844.95,2.14,901,413.80999755859375,13.38
2022-05-06,370619.48,2.14,901,411.3399963378906,13.89
2022-05-09,358753.32,2.14,901,398.1700134277344,16.65
2022-05-10,359582.23,2.14,901,399.0899963378906,16.46
2022-05-11,353869.89,2.14,901,392.75,17.78
2022-05-12,353500.48,2.14,901,392.3399963378906,17.87
2022-05-13,361951.86,2.14,901,401.7200012207031,15.91
2022-05-16,360483.23,2.14,901,400.0899963378906,16.25
2022-05-17,367898.47,2.14,901,408.32000732421875,14.53
2022-05-18,353067.99,2.14,901,391.8599853515625,17.97
2022-05-19,350905.59,2.14,901,389.4599914550781,18.47
2022-05-20,351058.78,2.14,901,389.6300048828125,18.44
2022-05-23,357627.07,2.14,901,396.9200134277344,16.91
2022-05-24,354897.04,2.14,901,393.8900146484375,17.55
2022-05-25,358032.51,2.14,901,397.3699951171875,16.82
2022-05-26,365186.45,2.14,901,405.30999755859375,15.16
2022-05-27,374151.41,2.14,901,415.260009765625,13.07
2022-05-31,372052.06,2.14,901,412.92999267578125,13.56
2022-06-01,369042.73,2.14,901,409.5899963378906,14.26
2022-06-02,376070.54,2.14,901,417.3900146484375,12.63
2022-06-03,369898.69,2.14,901,410.5400085449219,14.06
